title,url,date,text
罷工最後召集，勇武派遊擊各地，和理非動之以誠| 朝雲| 立場新聞,https://www.thestandnews.com/politics/%E7%BD%B7%E5%B7%A5%E6%9C%80%E5%BE%8C%E5%8F%AC%E9%9B%86-%E5%8B%87%E6%AD%A6%E6%B4%BE%E9%81%8A%E6%93%8A%E5%90%84%E5%9C%B0-%E5%92%8C%E7%90%86%E9%9D%9E%E5%8B%95%E4%B9%8B%E4%BB%A5%E8%AA%A0/
富臨集團接勒索電郵﻿﻿「勇武聯盟」索比特幣﻿ - MSN.com,https://www.msn.com/zh-hk/news/localnews/%EF%BB%BF%E5%AF%8C%E8%87%A8%E9%9B%86%E5%9C%98%E6%8E%A5%E5%8B%92%E7%B4%A2%E9%9B%BB%E9%83%B5%EF%BB%BF%EF%BB%BF%E3%80%8C%E5%8B%87%E6%AD%A6%E8%81%AF%E7%9B%9F%E3%80%8D%E7%B4%A2%E6%AF%94%E7%89%B9%E5%B9%A3%EF%BB%BF/ar-AAIARce
中共自找麻煩最怕香港勇武抗爭，卑鄙招數針對年青人火上加油 ...,https://www.youtube.com/watch?v=v2Pew0rRLKc
最感人的紀錄－ 跟拍勇武情侶- YouTube,https://www.youtube.com/watch?v=li6rrcUQMg0
Anna Borkowska: 支持勇武前線巴打的天使- YouTube,https://www.youtube.com/watch?v=XICHOg8Y65s
人民網評：“勇武組織”就是恐怖組織--觀點--人民網,http://opinion.people.com.cn/BIG5/n1/2019/0831/c1003-31329188.html
260人蒙面被捕逾九成涉非法集結前線警：降拘捕門檻示威者 ...,https://news.mingpao.com/pns/%E8%A6%81%E8%81%9E/article/20191101/s00001/1572546316739/260%E4%BA%BA%E8%92%99%E9%9D%A2%E8%A2%AB%E6%8D%95-%E9%80%BE%E4%B9%9D%E6%88%90%E6%B6%89%E9%9D%9E%E6%B3%95%E9%9B%86%E7%B5%90-%E5%89%8D%E7%B7%9A%E8%AD%A6-%E9%99%8D%E6%8B%98%E6%8D%95%E9%96%80%E6%AA%BB-%E7%A4%BA%E5%A8%81%E8%80%85-%E6%9C%89%E4%BA%BA%E4%B8%8D%E4%BC%BC%E4%B9%8B%E5%89%8D%E5%8B%87%E6%AD%A6
勇武派：寧跟暴警一齊入獄｜ 日報｜ 要聞港聞｜ 20191224,https://hk.news.appledaily.com/local/20191224/VWB7HK566YXDJD4HIRFRHQCNDA/
和理非：誓不與勇武派割席| 蘋果日報| 要聞港聞| 20190722,https://hk.news.appledaily.com/local/daily/article/20190722/20734957
勇武過龍全世界割席- 信報財經新聞HKEJ - Medium,https://medium.com/%E4%BF%A1%E5%A0%B1%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E/%E5%8B%87%E6%AD%A6%E9%81%8E%E9%BE%8D%E5%85%A8%E4%B8%96%E7%95%8C%E5%89%B2%E5%B8%AD-4d1c2dd1cf7a
【中港矛盾】GTA V更新觸發反送中大戰，香港「勇武」遊戲抗內地 ...,https://businessfocus.io/article/125106/%E4%B8%AD%E6%B8%AF%E7%9F%9B%E7%9B%BE-gta-v%E6%9B%B4%E6%96%B0%E8%A7%B8%E7%99%BC%E5%8F%8D%E9%80%81%E4%B8%AD%E5%A4%A7%E6%88%B0-%E9%A6%99%E6%B8%AF-%E5%8B%87%E6%AD%A6-%E9%81%8A%E6%88%B2%E6%8A%97%E5%85%A7%E5%9C%B0-%E9%98%B2%E6%9A%B4
最熱血的勇武MV - YouTube,https://www.youtube.com/watch?v=8aawVe0oAIs
訪南韓「燭光革命」領袖李泰鎬：南韓運動的「勇武／非暴力」之辯 ...,https://matters.news/@Redballoon_Soli/%E8%A8%AA%E5%8D%97%E9%9F%93-%E7%87%AD%E5%85%89%E9%9D%A9%E5%91%BD-%E9%A0%98%E8%A2%96%E6%9D%8E%E6%B3%B0%E9%8E%AC-%E5%8D%97%E9%9F%93%E9%81%8B%E5%8B%95%E7%9A%84-%E5%8B%87%E6%AD%A6-%E9%9D%9E%E6%9A%B4%E5%8A%9B-%E4%B9%8B%E8%BE%AF-zdpuAy2R2hM4Kebtcp7VG4UcBQCqjqwyQcDBp3sifdfisok1x
勇武之外，「和理非」的潛能，以及林鄭的矛盾轉移大法| 田中 ...,https://www.thestandnews.com/politics/%E5%8B%87%E6%AD%A6%E4%B9%8B%E5%A4%96-%E5%92%8C%E7%90%86%E9%9D%9E-%E7%9A%84%E6%BD%9B%E8%83%BD-%E4%BB%A5%E5%8F%8A%E6%9E%97%E9%84%AD%E7%9A%84%E7%9F%9B%E7%9B%BE%E8%BD%89%E7%A7%BB%E5%A4%A7%E6%B3%95/
「勇武派」武力升級分工精細| 巴士的報,https://www.bastillepost.com/hongkong/179701-%E6%B8%AF%E8%81%9E/5001679-%E3%80%8C%E5%8B%87%E6%AD%A6%E6%B4%BE%E3%80%8D%E6%AD%A6%E5%8A%9B%E5%8D%87%E7%B4%9A%E5%88%86%E5%B7%A5%E7%B2%BE%E7%B4%B0/
名校生由和理非變勇武「屎彈巴」：《禁蒙面法》令我更想上 ... - 眾新聞,https://www.hkcnews.com/article/24069/%E5%8D%81%E4%B8%80%E6%B2%99%E7%94%B0-%E5%8B%87%E6%AD%A6%E6%8A%97%E7%88%AD-%E7%A6%81%E8%92%99%E9%9D%A2%E6%B3%95-24069/%E5%90%8D%E6%A0%A1%E7%94%9F%E7%94%B1%E5%92%8C%E7%90%86%E9%9D%9E%E8%AE%8A%E5%8B%87%E6%AD%A6%E3%80%8C%E5%B1%8E%E5%BD%88%E5%B7%B4%E3%80%8D%EF%BC%9A%E3%80%8A%E7%A6%81%E8%92%99%E9%9D%A2%E6%B3%95%E3%80%8B%E4%BB%A4%E6%88%91%E6%9B%B4%E6%83%B3%E4%B8%8A%E5%89%8D%E7%B7%9A
和理非父親給勇武兒子的話：我怕死，但更怕你被打被捕 - 眾新聞,https://www.hkcnews.com/article/21972/%E9%A6%99%E6%B8%AF%E5%AA%BD%E5%AA%BD%E5%8F%8D%E9%80%81%E4%B8%AD-%E5%8B%87%E6%AD%A6%E6%8A%97%E7%88%AD-%E5%92%8C%E7%90%86%E9%9D%9E-21972/%E5%92%8C%E7%90%86%E9%9D%9E%E7%88%B6%E8%A6%AA%E7%B5%A6%E5%8B%87%E6%AD%A6%E5%85%92%E5%AD%90%E7%9A%84%E8%A9%B1%EF%BC%9A%E6%88%91%E6%80%95%E6%AD%BB%EF%BC%8C%E4%BD%86%E6%9B%B4%E6%80%95%E4%BD%A0%E8%A2%AB%E6%89%93%E8%A2%AB%E6%8D%95
